scope,category,n,denominator,percent,wilson_95_low,wilson_95_high
sme_only,Not familiar,8,172,4.7,2.4,8.9
large_comparator,Not familiar,1,39,2.6,0.5,13.2
large_comparator,Slightly familiar,3,39,7.7,2.7,20.3
sme_only,Slightly familiar,27,172,15.7,11.0,21.9
large_comparator,"Familiar, not using AI",4,39,10.3,4.1,23.6
sme_only,"Familiar, not using AI",32,172,18.6,13.5,25.1
large_comparator,Projects planned/in deployment,12,39,30.8,18.6,46.4
sme_only,Projects planned/in deployment,51,172,29.7,23.3,36.9
large_comparator,Active AI use,19,39,48.7,33.9,63.8
sme_only,Active AI use,54,172,31.4,24.9,38.7
